University	Community Collge	Precentage of Units Articulated	Unmet Requirements	Met Units	Unmet Units 
UCI	Taft College	0.0	"[""[['I&C SCI 31- 32- 33 - Introduction to Programming (4.00)', 'Programming with Software Libraries (4.00)', 'Intermediate Programming (4.00)'], ['I&C SCI 32A- 33 - Python Programming and Libraries (Accelerated) (4.00)', 'Intermediate Programming (4.00)']]"", ""[['I&C SCI 45C - Programming in C/C++ as a Second Language (4.00)']]"", ""[['I&C SCI 46 - Data Structure Implementation and Analysis (4.00)']]"", ""[['I&C SCI 51 - Introductory Computer Organization (6.00)']]"", ""[['I&C SCI 53 - Principles in System Design (4.00)']]"", ""[['IN4MATX 43 - Introduction to Software Engineering (4.00)']]"", ""[['I&C SCI 6B - Boolean Logic and Discrete Structures (4.00)']]"", ""[['I&C SCI 6D - Discrete Mathematics for Computer Science (4.00)']]""]"	0	38.0
UCI	Antelope Valley College	0.2857142857142857	"[""[['I&C SCI 45C - Programming in C/C++ as a Second Language (4.00)']]"", ""[['I&C SCI 46 - Data Structure Implementation and Analysis (4.00)']]"", ""[['I&C SCI 51 - Introductory Computer Organization (6.00)']]"", ""[['I&C SCI 53 - Principles in System Design (4.00)']]"", ""[['IN4MATX 43 - Introduction to Software Engineering (4.00)']]"", ""[['I&C SCI 6B - Boolean Logic and Discrete Structures (4.00)']]"", ""[['I&C SCI 6D - Discrete Mathematics for Computer Science (4.00)']]""]"	12.0	42.0
UCI	Feather River College	0.0	"[""[['I&C SCI 31- 32- 33 - Introduction to Programming (4.00)', 'Programming with Software Libraries (4.00)', 'Intermediate Programming (4.00)'], ['I&C SCI 32A- 33 - Python Programming and Libraries (Accelerated) (4.00)', 'Intermediate Programming (4.00)']]"", ""[['I&C SCI 45C - Programming in C/C++ as a Second Language (4.00)']]"", ""[['I&C SCI 46 - Data Structure Implementation and Analysis (4.00)']]"", ""[['I&C SCI 51 - Introductory Computer Organization (6.00)']]"", ""[['I&C SCI 53 - Principles in System Design (4.00)']]"", ""[['IN4MATX 43 - Introduction to Software Engineering (4.00)']]"", ""[['I&C SCI 6B - Boolean Logic and Discrete Structures (4.00)']]"", ""[['I&C SCI 6D - Discrete Mathematics for Computer Science (4.00)']]""]"	0	38.0
UCI	Hartnell College	0.0	"[""[['I&C SCI 31- 32- 33 - Introduction to Programming (4.00)', 'Programming with Software Libraries (4.00)', 'Intermediate Programming (4.00)'], ['I&C SCI 32A- 33 - Python Programming and Libraries (Accelerated) (4.00)', 'Intermediate Programming (4.00)']]"", ""[['I&C SCI 45C - Programming in C/C++ as a Second Language (4.00)']]"", ""[['I&C SCI 46 - Data Structure Implementation and Analysis (4.00)']]"", ""[['I&C SCI 51 - Introductory Computer Organization (6.00)']]"", ""[['I&C SCI 53 - Principles in System Design (4.00)']]"", ""[['IN4MATX 43 - Introduction to Software Engineering (4.00)']]"", ""[['I&C SCI 6B - Boolean Logic and Discrete Structures (4.00)']]"", ""[['I&C SCI 6D - Discrete Mathematics for Computer Science (4.00)']]""]"	0	38.0
UCI	Irvine Valley College	0.2857142857142857	"[""[['I&C SCI 45C - Programming in C/C++ as a Second Language (4.00)']]"", ""[['I&C SCI 46 - Data Structure Implementation and Analysis (4.00)']]"", ""[['I&C SCI 51 - Introductory Computer Organization (6.00)']]"", ""[['I&C SCI 53 - Principles in System Design (4.00)']]"", ""[['IN4MATX 43 - Introduction to Software Engineering (4.00)']]"", ""[['I&C SCI 6B - Boolean Logic and Discrete Structures (4.00)']]"", ""[['I&C SCI 6D - Discrete Mathematics for Computer Science (4.00)']]""]"	12.0	42.0
UCI	Porterville College	0.0	"[""[['I&C SCI 31- 32- 33 - Introduction to Programming (4.00)', 'Programming with Software Libraries (4.00)', 'Intermediate Programming (4.00)'], ['I&C SCI 32A- 33 - Python Programming and Libraries (Accelerated) (4.00)', 'Intermediate Programming (4.00)']]"", ""[['I&C SCI 45C - Programming in C/C++ as a Second Language (4.00)']]"", ""[['I&C SCI 46 - Data Structure Implementation and Analysis (4.00)']]"", ""[['I&C SCI 51 - Introductory Computer Organization (6.00)']]"", ""[['I&C SCI 53 - Principles in System Design (4.00)']]"", ""[['IN4MATX 43 - Introduction to Software Engineering (4.00)']]"", ""[['I&C SCI 6B - Boolean Logic and Discrete Structures (4.00)']]"", ""[['I&C SCI 6D - Discrete Mathematics for Computer Science (4.00)']]""]"	0	38.0
UCI	Sacramento City College	0.0	"[""[['I&C SCI 31- 32- 33 - Introduction to Programming (4.00)', 'Programming with Software Libraries (4.00)', 'Intermediate Programming (4.00)'], ['I&C SCI 32A- 33 - Python Programming and Libraries (Accelerated) (4.00)', 'Intermediate Programming (4.00)']]"", ""[['I&C SCI 45C - Programming in C/C++ as a Second Language (4.00)']]"", ""[['I&C SCI 46 - Data Structure Implementation and Analysis (4.00)']]"", ""[['I&C SCI 51 - Introductory Computer Organization (6.00)']]"", ""[['I&C SCI 53 - Principles in System Design (4.00)']]"", ""[['IN4MATX 43 - Introduction to Software Engineering (4.00)']]"", ""[['I&C SCI 6B - Boolean Logic and Discrete Structures (4.00)']]"", ""[['I&C SCI 6D - Discrete Mathematics for Computer Science (4.00)']]""]"	0	38.0
UCI	Skyline College	0.2857142857142857	"[""[['I&C SCI 45C - Programming in C/C++ as a Second Language (4.00)']]"", ""[['I&C SCI 46 - Data Structure Implementation and Analysis (4.00)']]"", ""[['I&C SCI 51 - Introductory Computer Organization (6.00)']]"", ""[['I&C SCI 53 - Principles in System Design (4.00)']]"", ""[['IN4MATX 43 - Introduction to Software Engineering (4.00)']]"", ""[['I&C SCI 6B - Boolean Logic and Discrete Structures (4.00)']]"", ""[['I&C SCI 6D - Discrete Mathematics for Computer Science (4.00)']]""]"	12.0	42.0
UCI	Los Angeles Southwest College	0.0	"[""[['I&C SCI 31- 32- 33 - Introduction to Programming (4.00)', 'Programming with Software Libraries (4.00)', 'Intermediate Programming (4.00)'], ['I&C SCI 32A- 33 - Python Programming and Libraries (Accelerated) (4.00)', 'Intermediate Programming (4.00)']]"", ""[['I&C SCI 45C - Programming in C/C++ as a Second Language (4.00)']]"", ""[['I&C SCI 46 - Data Structure Implementation and Analysis (4.00)']]"", ""[['I&C SCI 51 - Introductory Computer Organization (6.00)']]"", ""[['I&C SCI 53 - Principles in System Design (4.00)']]"", ""[['IN4MATX 43 - Introduction to Software Engineering (4.00)']]"", ""[['I&C SCI 6B - Boolean Logic and Discrete Structures (4.00)']]"", ""[['I&C SCI 6D - Discrete Mathematics for Computer Science (4.00)']]""]"	0	38.0
UCI	San Bernardino Valley College	0.2857142857142857	"[""[['I&C SCI 45C - Programming in C/C++ as a Second Language (4.00)']]"", ""[['I&C SCI 46 - Data Structure Implementation and Analysis (4.00)']]"", ""[['I&C SCI 51 - Introductory Computer Organization (6.00)']]"", ""[['I&C SCI 53 - Principles in System Design (4.00)']]"", ""[['IN4MATX 43 - Introduction to Software Engineering (4.00)']]"", ""[['I&C SCI 6B - Boolean Logic and Discrete Structures (4.00)']]"", ""[['I&C SCI 6D - Discrete Mathematics for Computer Science (4.00)']]""]"	12.0	42.0
UCI	Monterey Peninsula College	0.0	"[""[['I&C SCI 31- 32- 33 - Introduction to Programming (4.00)', 'Programming with Software Libraries (4.00)', 'Intermediate Programming (4.00)'], ['I&C SCI 32A- 33 - Python Programming and Libraries (Accelerated) (4.00)', 'Intermediate Programming (4.00)']]"", ""[['I&C SCI 45C - Programming in C/C++ as a Second Language (4.00)']]"", ""[['I&C SCI 46 - Data Structure Implementation and Analysis (4.00)']]"", ""[['I&C SCI 51 - Introductory Computer Organization (6.00)']]"", ""[['I&C SCI 53 - Principles in System Design (4.00)']]"", ""[['IN4MATX 43 - Introduction to Software Engineering (4.00)']]"", ""[['I&C SCI 6B - Boolean Logic and Discrete Structures (4.00)']]"", ""[['I&C SCI 6D - Discrete Mathematics for Computer Science (4.00)']]""]"	0	38.0
UCI	Fullerton College	0.2857142857142857	"[""[['I&C SCI 45C - Programming in C/C++ as a Second Language (4.00)']]"", ""[['I&C SCI 46 - Data Structure Implementation and Analysis (4.00)']]"", ""[['I&C SCI 51 - Introductory Computer Organization (6.00)']]"", ""[['I&C SCI 53 - Principles in System Design (4.00)']]"", ""[['IN4MATX 43 - Introduction to Software Engineering (4.00)']]"", ""[['I&C SCI 6B - Boolean Logic and Discrete Structures (4.00)']]"", ""[['I&C SCI 6D - Discrete Mathematics for Computer Science (4.00)']]""]"	12.0	42.0
UCI	Long Beach City College	0.2857142857142857	"[""[['I&C SCI 45C - Programming in C/C++ as a Second Language (4.00)']]"", ""[['I&C SCI 46 - Data Structure Implementation and Analysis (4.00)']]"", ""[['I&C SCI 51 - Introductory Computer Organization (6.00)']]"", ""[['I&C SCI 53 - Principles in System Design (4.00)']]"", ""[['IN4MATX 43 - Introduction to Software Engineering (4.00)']]"", ""[['I&C SCI 6B - Boolean Logic and Discrete Structures (4.00)']]"", ""[['I&C SCI 6D - Discrete Mathematics for Computer Science (4.00)']]""]"	12.0	42.0
UCI	San Jose City College	0.0	"[""[['I&C SCI 31- 32- 33 - Introduction to Programming (4.00)', 'Programming with Software Libraries (4.00)', 'Intermediate Programming (4.00)'], ['I&C SCI 32A- 33 - Python Programming and Libraries (Accelerated) (4.00)', 'Intermediate Programming (4.00)']]"", ""[['I&C SCI 45C - Programming in C/C++ as a Second Language (4.00)']]"", ""[['I&C SCI 46 - Data Structure Implementation and Analysis (4.00)']]"", ""[['I&C SCI 51 - Introductory Computer Organization (6.00)']]"", ""[['I&C SCI 53 - Principles in System Design (4.00)']]"", ""[['IN4MATX 43 - Introduction to Software Engineering (4.00)']]"", ""[['I&C SCI 6B - Boolean Logic and Discrete Structures (4.00)']]"", ""[['I&C SCI 6D - Discrete Mathematics for Computer Science (4.00)']]""]"	0	38.0
UCI	Santa Monica College	0.2857142857142857	"[""[['I&C SCI 45C - Programming in C/C++ as a Second Language (4.00)']]"", ""[['I&C SCI 46 - Data Structure Implementation and Analysis (4.00)']]"", ""[['I&C SCI 51 - Introductory Computer Organization (6.00)']]"", ""[['I&C SCI 53 - Principles in System Design (4.00)']]"", ""[['IN4MATX 43 - Introduction to Software Engineering (4.00)']]"", ""[['I&C SCI 6B - Boolean Logic and Discrete Structures (4.00)']]"", ""[['I&C SCI 6D - Discrete Mathematics for Computer Science (4.00)']]""]"	12.0	42.0
UCI	Southwestern College	0.2857142857142857	"[""[['I&C SCI 45C - Programming in C/C++ as a Second Language (4.00)']]"", ""[['I&C SCI 46 - Data Structure Implementation and Analysis (4.00)']]"", ""[['I&C SCI 51 - Introductory Computer Organization (6.00)']]"", ""[['I&C SCI 53 - Principles in System Design (4.00)']]"", ""[['IN4MATX 43 - Introduction to Software Engineering (4.00)']]"", ""[['I&C SCI 6B - Boolean Logic and Discrete Structures (4.00)']]"", ""[['I&C SCI 6D - Discrete Mathematics for Computer Science (4.00)']]""]"	12.0	42.0
UCI	Moorpark College	0.2857142857142857	"[""[['I&C SCI 45C - Programming in C/C++ as a Second Language (4.00)']]"", ""[['I&C SCI 46 - Data Structure Implementation and Analysis (4.00)']]"", ""[['I&C SCI 51 - Introductory Computer Organization (6.00)']]"", ""[['I&C SCI 53 - Principles in System Design (4.00)']]"", ""[['IN4MATX 43 - Introduction to Software Engineering (4.00)']]"", ""[['I&C SCI 6B - Boolean Logic and Discrete Structures (4.00)']]"", ""[['I&C SCI 6D - Discrete Mathematics for Computer Science (4.00)']]""]"	12.0	42.0
UCI	College of the Canyons	0.0	"[""[['I&C SCI 31- 32- 33 - Introduction to Programming (4.00)', 'Programming with Software Libraries (4.00)', 'Intermediate Programming (4.00)'], ['I&C SCI 32A- 33 - Python Programming and Libraries (Accelerated) (4.00)', 'Intermediate Programming (4.00)']]"", ""[['I&C SCI 45C - Programming in C/C++ as a Second Language (4.00)']]"", ""[['I&C SCI 46 - Data Structure Implementation and Analysis (4.00)']]"", ""[['I&C SCI 51 - Introductory Computer Organization (6.00)']]"", ""[['I&C SCI 53 - Principles in System Design (4.00)']]"", ""[['IN4MATX 43 - Introduction to Software Engineering (4.00)']]"", ""[['I&C SCI 6B - Boolean Logic and Discrete Structures (4.00)']]"", ""[['I&C SCI 6D - Discrete Mathematics for Computer Science (4.00)']]""]"	0	38.0
UCI	Cosumnes River College	0.2857142857142857	"[""[['I&C SCI 45C - Programming in C/C++ as a Second Language (4.00)']]"", ""[['I&C SCI 46 - Data Structure Implementation and Analysis (4.00)']]"", ""[['I&C SCI 51 - Introductory Computer Organization (6.00)']]"", ""[['I&C SCI 53 - Principles in System Design (4.00)']]"", ""[['IN4MATX 43 - Introduction to Software Engineering (4.00)']]"", ""[['I&C SCI 6B - Boolean Logic and Discrete Structures (4.00)']]"", ""[['I&C SCI 6D - Discrete Mathematics for Computer Science (4.00)']]""]"	12.0	42.0
UCI	Folsom Lake College	0.2857142857142857	"[""[['I&C SCI 45C - Programming in C/C++ as a Second Language (4.00)']]"", ""[['I&C SCI 46 - Data Structure Implementation and Analysis (4.00)']]"", ""[['I&C SCI 51 - Introductory Computer Organization (6.00)']]"", ""[['I&C SCI 53 - Principles in System Design (4.00)']]"", ""[['IN4MATX 43 - Introduction to Software Engineering (4.00)']]"", ""[['I&C SCI 6B - Boolean Logic and Discrete Structures (4.00)']]"", ""[['I&C SCI 6D - Discrete Mathematics for Computer Science (4.00)']]""]"	12.0	42.0
UCI	West Hills College Lemoore	0.0	"[""[['I&C SCI 31- 32- 33 - Introduction to Programming (4.00)', 'Programming with Software Libraries (4.00)', 'Intermediate Programming (4.00)'], ['I&C SCI 32A- 33 - Python Programming and Libraries (Accelerated) (4.00)', 'Intermediate Programming (4.00)']]"", ""[['I&C SCI 45C - Programming in C/C++ as a Second Language (4.00)']]"", ""[['I&C SCI 46 - Data Structure Implementation and Analysis (4.00)']]"", ""[['I&C SCI 51 - Introductory Computer Organization (6.00)']]"", ""[['I&C SCI 53 - Principles in System Design (4.00)']]"", ""[['IN4MATX 43 - Introduction to Software Engineering (4.00)']]"", ""[['I&C SCI 6B - Boolean Logic and Discrete Structures (4.00)']]"", ""[['I&C SCI 6D - Discrete Mathematics for Computer Science (4.00)']]""]"	0	38.0
UCI	Woodland Community College	0.0	"[""[['I&C SCI 31- 32- 33 - Introduction to Programming (4.00)', 'Programming with Software Libraries (4.00)', 'Intermediate Programming (4.00)'], ['I&C SCI 32A- 33 - Python Programming and Libraries (Accelerated) (4.00)', 'Intermediate Programming (4.00)']]"", ""[['I&C SCI 45C - Programming in C/C++ as a Second Language (4.00)']]"", ""[['I&C SCI 46 - Data Structure Implementation and Analysis (4.00)']]"", ""[['I&C SCI 51 - Introductory Computer Organization (6.00)']]"", ""[['I&C SCI 53 - Principles in System Design (4.00)']]"", ""[['IN4MATX 43 - Introduction to Software Engineering (4.00)']]"", ""[['I&C SCI 6B - Boolean Logic and Discrete Structures (4.00)']]"", ""[['I&C SCI 6D - Discrete Mathematics for Computer Science (4.00)']]""]"	0	38.0
UCI	Norco College	0.2857142857142857	"[""[['I&C SCI 45C - Programming in C/C++ as a Second Language (4.00)']]"", ""[['I&C SCI 46 - Data Structure Implementation and Analysis (4.00)']]"", ""[['I&C SCI 51 - Introductory Computer Organization (6.00)']]"", ""[['I&C SCI 53 - Principles in System Design (4.00)']]"", ""[['IN4MATX 43 - Introduction to Software Engineering (4.00)']]"", ""[['I&C SCI 6B - Boolean Logic and Discrete Structures (4.00)']]"", ""[['I&C SCI 6D - Discrete Mathematics for Computer Science (4.00)']]""]"	12.0	42.0
UCI	Moreno Valley College	0.2857142857142857	"[""[['I&C SCI 45C - Programming in C/C++ as a Second Language (4.00)']]"", ""[['I&C SCI 46 - Data Structure Implementation and Analysis (4.00)']]"", ""[['I&C SCI 51 - Introductory Computer Organization (6.00)']]"", ""[['I&C SCI 53 - Principles in System Design (4.00)']]"", ""[['IN4MATX 43 - Introduction to Software Engineering (4.00)']]"", ""[['I&C SCI 6B - Boolean Logic and Discrete Structures (4.00)']]"", ""[['I&C SCI 6D - Discrete Mathematics for Computer Science (4.00)']]""]"	12.0	42.0
UCI	Clovis Community College	0.2857142857142857	"[""[['I&C SCI 45C - Programming in C/C++ as a Second Language (4.00)']]"", ""[['I&C SCI 46 - Data Structure Implementation and Analysis (4.00)']]"", ""[['I&C SCI 51 - Introductory Computer Organization (6.00)']]"", ""[['I&C SCI 53 - Principles in System Design (4.00)']]"", ""[['IN4MATX 43 - Introduction to Software Engineering (4.00)']]"", ""[['I&C SCI 6B - Boolean Logic and Discrete Structures (4.00)']]"", ""[['I&C SCI 6D - Discrete Mathematics for Computer Science (4.00)']]""]"	12.0	42.0
UCI	Compton College	0.2857142857142857	"[""[['I&C SCI 45C - Programming in C/C++ as a Second Language (4.00)']]"", ""[['I&C SCI 46 - Data Structure Implementation and Analysis (4.00)']]"", ""[['I&C SCI 51 - Introductory Computer Organization (6.00)']]"", ""[['I&C SCI 53 - Principles in System Design (4.00)']]"", ""[['IN4MATX 43 - Introduction to Software Engineering (4.00)']]"", ""[['I&C SCI 6B - Boolean Logic and Discrete Structures (4.00)']]"", ""[['I&C SCI 6D - Discrete Mathematics for Computer Science (4.00)']]""]"	12.0	42.0
UCI	Madera Community College	0.2857142857142857	"[""[['I&C SCI 45C - Programming in C/C++ as a Second Language (4.00)']]"", ""[['I&C SCI 46 - Data Structure Implementation and Analysis (4.00)']]"", ""[['I&C SCI 51 - Introductory Computer Organization (6.00)']]"", ""[['I&C SCI 53 - Principles in System Design (4.00)']]"", ""[['IN4MATX 43 - Introduction to Software Engineering (4.00)']]"", ""[['I&C SCI 6B - Boolean Logic and Discrete Structures (4.00)']]"", ""[['I&C SCI 6D - Discrete Mathematics for Computer Science (4.00)']]""]"	12.0	42.0
UCLA	Evergreen Valley College	0.0	"[""[['COM SCI 31 - Introduction to Computer Science I (4.00)']]"", ""[['COM SCI 32 - Introduction to Computer Science II (4.00)']]"", ""[['COM SCI 33 - Introduction to Computer Organization (5.00)']]"", ""[['COM SCI 35L - Software Construction (4.00)']]"", ""[['MATH 61 - Introduction to Discrete Structures (4.00)']]"", ""[['COM SCI M51A - Logic Design of Digital Systems (4.00)'], ['EC ENGR M16 - Logic Design of Digital Systems (4.00)']]""]"	0	25.0
UCLA	Los Angeles City College	0.0	"[""[['COM SCI 31 - Introduction to Computer Science I (4.00)']]"", ""[['COM SCI 32 - Introduction to Computer Science II (4.00)']]"", ""[['COM SCI 33 - Introduction to Computer Organization (5.00)']]"", ""[['COM SCI 35L - Software Construction (4.00)']]"", ""[['MATH 61 - Introduction to Discrete Structures (4.00)']]"", ""[['COM SCI M51A - Logic Design of Digital Systems (4.00)'], ['EC ENGR M16 - Logic Design of Digital Systems (4.00)']]""]"	0	25.0
UCLA	College of Marin	0.0	"[""[['COM SCI 31 - Introduction to Computer Science I (4.00)']]"", ""[['COM SCI 32 - Introduction to Computer Science II (4.00)']]"", ""[['COM SCI 33 - Introduction to Computer Organization (5.00)']]"", ""[['COM SCI 35L - Software Construction (4.00)']]"", ""[['MATH 61 - Introduction to Discrete Structures (4.00)']]"", ""[['COM SCI M51A - Logic Design of Digital Systems (4.00)'], ['EC ENGR M16 - Logic Design of Digital Systems (4.00)']]""]"	0	25.0
UCLA	College of San Mateo	0.0	"[""[['COM SCI 31 - Introduction to Computer Science I (4.00)']]"", ""[['COM SCI 32 - Introduction to Computer Science II (4.00)']]"", ""[['COM SCI 33 - Introduction to Computer Organization (5.00)']]"", ""[['COM SCI 35L - Software Construction (4.00)']]"", ""[['MATH 61 - Introduction to Discrete Structures (4.00)']]"", ""[['COM SCI M51A - Logic Design of Digital Systems (4.00)'], ['EC ENGR M16 - Logic Design of Digital Systems (4.00)']]""]"	0	25.0
UCLA	College of the Sequoias	0.0	"[""[['COM SCI 31 - Introduction to Computer Science I (4.00)']]"", ""[['COM SCI 32 - Introduction to Computer Science II (4.00)']]"", ""[['COM SCI 33 - Introduction to Computer Organization (5.00)']]"", ""[['COM SCI 35L - Software Construction (4.00)']]"", ""[['MATH 61 - Introduction to Discrete Structures (4.00)']]"", ""[['COM SCI M51A - Logic Design of Digital Systems (4.00)'], ['EC ENGR M16 - Logic Design of Digital Systems (4.00)']]""]"	0	25.0
UCLA	Butte College	0.0	"[""[['COM SCI 31 - Introduction to Computer Science I (4.00)']]"", ""[['COM SCI 32 - Introduction to Computer Science II (4.00)']]"", ""[['COM SCI 33 - Introduction to Computer Organization (5.00)']]"", ""[['COM SCI 35L - Software Construction (4.00)']]"", ""[['MATH 61 - Introduction to Discrete Structures (4.00)']]"", ""[['COM SCI M51A - Logic Design of Digital Systems (4.00)'], ['EC ENGR M16 - Logic Design of Digital Systems (4.00)']]""]"	0	25.0
UCLA	Cerro Coso Community College	0.0	"[""[['COM SCI 31 - Introduction to Computer Science I (4.00)']]"", ""[['COM SCI 32 - Introduction to Computer Science II (4.00)']]"", ""[['COM SCI 33 - Introduction to Computer Organization (5.00)']]"", ""[['COM SCI 35L - Software Construction (4.00)']]"", ""[['MATH 61 - Introduction to Discrete Structures (4.00)']]"", ""[['COM SCI M51A - Logic Design of Digital Systems (4.00)'], ['EC ENGR M16 - Logic Design of Digital Systems (4.00)']]""]"	0	25.0
UCLA	Columbia College	0.0	"[""[['COM SCI 31 - Introduction to Computer Science I (4.00)']]"", ""[['COM SCI 32 - Introduction to Computer Science II (4.00)']]"", ""[['COM SCI 33 - Introduction to Computer Organization (5.00)']]"", ""[['COM SCI 35L - Software Construction (4.00)']]"", ""[['MATH 61 - Introduction to Discrete Structures (4.00)']]"", ""[['COM SCI M51A - Logic Design of Digital Systems (4.00)'], ['EC ENGR M16 - Logic Design of Digital Systems (4.00)']]""]"	0	25.0
UCLA	Merritt College	0.0	"[""[['COM SCI 31 - Introduction to Computer Science I (4.00)']]"", ""[['COM SCI 32 - Introduction to Computer Science II (4.00)']]"", ""[['COM SCI 33 - Introduction to Computer Organization (5.00)']]"", ""[['COM SCI 35L - Software Construction (4.00)']]"", ""[['MATH 61 - Introduction to Discrete Structures (4.00)']]"", ""[['COM SCI M51A - Logic Design of Digital Systems (4.00)'], ['EC ENGR M16 - Logic Design of Digital Systems (4.00)']]""]"	0	25.0
UCLA	Santa Ana College	0.0	"[""[['COM SCI 31 - Introduction to Computer Science I (4.00)']]"", ""[['COM SCI 32 - Introduction to Computer Science II (4.00)']]"", ""[['COM SCI 33 - Introduction to Computer Organization (5.00)']]"", ""[['COM SCI 35L - Software Construction (4.00)']]"", ""[['MATH 61 - Introduction to Discrete Structures (4.00)']]"", ""[['COM SCI M51A - Logic Design of Digital Systems (4.00)'], ['EC ENGR M16 - Logic Design of Digital Systems (4.00)']]""]"	0	25.0
UCLA	Cuesta College	0.0	"[""[['COM SCI 31 - Introduction to Computer Science I (4.00)']]"", ""[['COM SCI 32 - Introduction to Computer Science II (4.00)']]"", ""[['COM SCI 33 - Introduction to Computer Organization (5.00)']]"", ""[['COM SCI 35L - Software Construction (4.00)']]"", ""[['MATH 61 - Introduction to Discrete Structures (4.00)']]"", ""[['COM SCI M51A - Logic Design of Digital Systems (4.00)'], ['EC ENGR M16 - Logic Design of Digital Systems (4.00)']]""]"	0	25.0
UCLA	Merced College	0.0	"[""[['COM SCI 31 - Introduction to Computer Science I (4.00)']]"", ""[['COM SCI 32 - Introduction to Computer Science II (4.00)']]"", ""[['COM SCI 33 - Introduction to Computer Organization (5.00)']]"", ""[['COM SCI 35L - Software Construction (4.00)']]"", ""[['MATH 61 - Introduction to Discrete Structures (4.00)']]"", ""[['COM SCI M51A - Logic Design of Digital Systems (4.00)'], ['EC ENGR M16 - Logic Design of Digital Systems (4.00)']]""]"	0	25.0
UCLA	Las Positas College	0.0	"[""[['COM SCI 31 - Introduction to Computer Science I (4.00)']]"", ""[['COM SCI 32 - Introduction to Computer Science II (4.00)']]"", ""[['COM SCI 33 - Introduction to Computer Organization (5.00)']]"", ""[['COM SCI 35L - Software Construction (4.00)']]"", ""[['MATH 61 - Introduction to Discrete Structures (4.00)']]"", ""[['COM SCI M51A - Logic Design of Digital Systems (4.00)'], ['EC ENGR M16 - Logic Design of Digital Systems (4.00)']]""]"	0	25.0
UCLA	Victor Valley College	0.0	"[""[['COM SCI 31 - Introduction to Computer Science I (4.00)']]"", ""[['COM SCI 32 - Introduction to Computer Science II (4.00)']]"", ""[['COM SCI 33 - Introduction to Computer Organization (5.00)']]"", ""[['COM SCI 35L - Software Construction (4.00)']]"", ""[['MATH 61 - Introduction to Discrete Structures (4.00)']]"", ""[['COM SCI M51A - Logic Design of Digital Systems (4.00)'], ['EC ENGR M16 - Logic Design of Digital Systems (4.00)']]""]"	0	25.0
UCLA	Barstow Community College	0.0	"[""[['COM SCI 31 - Introduction to Computer Science I (4.00)']]"", ""[['COM SCI 32 - Introduction to Computer Science II (4.00)']]"", ""[['COM SCI 33 - Introduction to Computer Organization (5.00)']]"", ""[['COM SCI 35L - Software Construction (4.00)']]"", ""[['MATH 61 - Introduction to Discrete Structures (4.00)']]"", ""[['COM SCI M51A - Logic Design of Digital Systems (4.00)'], ['EC ENGR M16 - Logic Design of Digital Systems (4.00)']]""]"	0	25.0
UCLA	Los Angeles Trade Technical College	0.0	"[""[['COM SCI 31 - Introduction to Computer Science I (4.00)']]"", ""[['COM SCI 32 - Introduction to Computer Science II (4.00)']]"", ""[['COM SCI 33 - Introduction to Computer Organization (5.00)']]"", ""[['COM SCI 35L - Software Construction (4.00)']]"", ""[['MATH 61 - Introduction to Discrete Structures (4.00)']]"", ""[['COM SCI M51A - Logic Design of Digital Systems (4.00)'], ['EC ENGR M16 - Logic Design of Digital Systems (4.00)']]""]"	0	25.0
UCLA	American River College	0.0	"[""[['COM SCI 31 - Introduction to Computer Science I (4.00)']]"", ""[['COM SCI 32 - Introduction to Computer Science II (4.00)']]"", ""[['COM SCI 33 - Introduction to Computer Organization (5.00)']]"", ""[['COM SCI 35L - Software Construction (4.00)']]"", ""[['MATH 61 - Introduction to Discrete Structures (4.00)']]"", ""[['COM SCI M51A - Logic Design of Digital Systems (4.00)'], ['EC ENGR M16 - Logic Design of Digital Systems (4.00)']]""]"	0	25.0
UCLA	Contra Costa College	0.0	"[""[['COM SCI 31 - Introduction to Computer Science I (4.00)']]"", ""[['COM SCI 32 - Introduction to Computer Science II (4.00)']]"", ""[['COM SCI 33 - Introduction to Computer Organization (5.00)']]"", ""[['COM SCI 35L - Software Construction (4.00)']]"", ""[['MATH 61 - Introduction to Discrete Structures (4.00)']]"", ""[['COM SCI M51A - Logic Design of Digital Systems (4.00)'], ['EC ENGR M16 - Logic Design of Digital Systems (4.00)']]""]"	0	25.0
UCLA	College of the Desert	0.0	"[""[['COM SCI 31 - Introduction to Computer Science I (4.00)']]"", ""[['COM SCI 32 - Introduction to Computer Science II (4.00)']]"", ""[['COM SCI 33 - Introduction to Computer Organization (5.00)']]"", ""[['COM SCI 35L - Software Construction (4.00)']]"", ""[['MATH 61 - Introduction to Discrete Structures (4.00)']]"", ""[['COM SCI M51A - Logic Design of Digital Systems (4.00)'], ['EC ENGR M16 - Logic Design of Digital Systems (4.00)']]""]"	0	25.0
UCLA	Los Angeles Harbor College	0.0	"[""[['COM SCI 31 - Introduction to Computer Science I (4.00)']]"", ""[['COM SCI 32 - Introduction to Computer Science II (4.00)']]"", ""[['COM SCI 33 - Introduction to Computer Organization (5.00)']]"", ""[['COM SCI 35L - Software Construction (4.00)']]"", ""[['MATH 61 - Introduction to Discrete Structures (4.00)']]"", ""[['COM SCI M51A - Logic Design of Digital Systems (4.00)'], ['EC ENGR M16 - Logic Design of Digital Systems (4.00)']]""]"	0	25.0
